"Jaccard.CT"	"F1.KLF1.ctl"	"F1.KLF1"	"F1.MP.ctl"	"F1.MP"	"F1.CMP.ctl"	"F1.CMP"	"Norm.F1.KLF1.ctl"	"Norm.F1.KLF1"	"Norm.F1.MP.ctl"	"Norm.F1.MP"	"Norm.F1.CMP.ctl"	"Norm.F1.CMP"	"detected.CT"
"C_consensus_ks13"	0.375	0.014	0.077	0	0.29	0.014	0.246	0.314	0.471	0.281	0.909	0.314	0.852	"10, 5, 12, 6, 4, 7, 13, 9"
"C_consensus_ks15"	0.333	0.01	0.238	0.018	0.347	0	0.297	0.303	0.839	0.323	0.957	0.281	0.916	"7, 14, 12, 4, 15, 11, 6, 13, 8"
"C_consensus_ks17"	0.111	0	0	0.013	0.238	0	0	0.281	0.281	0.31	0.839	0.281	0.281	"10, 3, 7, 14, 8, 16, 2"
"C_consensus_ks19"	0.111	0	0	0	0.25	0	0	0.281	0.281	0.281	0.858	0.281	0.281	"6, 5, 16, 10, 19, 8, 14"
"C_Leiden_0.4"	0.2	0	0	0	0.394	0	0	0.281	0.281	0.281	0.978	0.281	0.281	"6, 5, 4"
"C_Leiden_0.8"	0.375	0.009	0.48	0	0.453	0	0.117	0.301	0.995	0.281	0.992	0.281	0.576	"12, 4, 10, 9, 8, 3, 6, 1"
"C_Leiden_1.2"	0.222	0	0	0.008	0.43	0.01	0.28	0.281	0.281	0.299	0.988	0.303	0.898	"13, 10, 3, 11, 8, 6, 9, 7"
"C_SNNGraph_k10"	0.286	0	0.516	0.01	0.073	0	0	0.281	0.998	0.303	0.461	0.281	0.281	"9, 6, 2, 1, 4, 3"
"C_SNNGraph_k5"	0.429	0	0.485	0.008	0.163	0	0.418	0.281	0.996	0.3	0.691	0.281	0.985	"5, 3, 6, 10, 11, 4, 7"
"C_Soft"	0.25	0	0	0	0	0	0.116	0.281	0.281	0.281	0.281	0.281	0.573	"C8, C5"
"C_Soft_wo.TC"	0.167	0	0	0	0	0	0.238	0.281	0.281	0.281	0.281	0.281	0.839	"C7, C8, C5, C6"
"QuanTC_run"	0.222	0	0.028	0.038	0	0	0	0.281	0.346	0.371	0.281	0.281	0.281	"C1, C4, C2, C6, C5, C8, C3, C7"
