"detected.CT"	"Jaccard.CT"	"F1.eHEP.ctl"	"F1.eHEP"	"F1.eHEP.ctl.DNB"	"F1.eHEP.DNB"	"Norm.F1.eHEP.ctl"	"Norm.F1.eHEP"	"Norm.F1.eHEP.ctl.DNB"	"Norm.F1.eHEP.DNB"
"C_SNNGraph_allcells"	"7, 11, 15, 16, 13, 8"	0.429	0	0	0	0	0.37	0.37	NA	NA
"C_SNNGraph"	"7, 6, 13"	0.75	0	0.052	0	0	0.37	0.624	NA	NA
"C_consensus_ks4"	"4"	0.333	0	0	0	0	0.37	0.37	0.37	NA
"C_consensus_ks6"	"5, 4"	0.667	0	0.241	0	0	0.37	0.996	NA	NA
"C_consensus_ks8"	"6, 4, 8, 3"	0.4	0	0	0	0	0.37	0.37	NA	NA
"C_consensus_ks10"	"6, 2, 10, 4"	0.143	0	0	0	0	0.37	0.37	0.37	NA
"C_Leiden_0.4"	"6, 2, 5"	0.75	0	0.341	0	0	0.37	1	NA	NA
"C_Leiden_0.8"	"7, 6, 9, 4"	0.6	0	0.288	0	0	0.37	0.999	NA	NA
"C_Leiden_1.2"	"9, 3, 10, 11, 4"	0.286	0	0	0	0	0.37	0.37	NA	NA
"C_Soft_k4"	"TC, C2, C1"	0.75	0	0.044	0	0	0.37	0.589	NA	NA
"C_Soft_k4.wo.TC"	"C2"	0.333	0	0	0	0	0.37	0.37	NA	NA
"C_Soft_k6"	"C6, C1, C5"	0.4	0	0	0	0	0.37	0.37	NA	NA
"C_Soft_k6.wo.TC"	"C1, C5, C4"	0.2	0	0	0	0	0.37	0.37	NA	NA
"QuanTC.k4_run"	"C1"	0.333	0	0	0	0	0.37	0.37	NA	NA
"QuanTC.k6_run"	"C2, C3, C1, C6"	0.75	0	0	0	0	0.37	0.37	NA	NA
