"detected.CT"	"Jaccard.CT"	"F1.CTS.ctl"	"F1.CTS"	"F1.ctl.DNB"	"F1.DNB"	"Norm.F1.CTS.ctl"	"Norm.F1.CTS"	"Norm.F1.ctl.DNB"	"Norm.F1.DNB"
"C_by_marker"	"AT2"	0	0	0	0	0	0.369	0.369	NA	NA
"C_CollectionTime"	""	0	0	0	0	0	0.369	0.369	NA	NA
"C_consensus_ks3"	"1"	1	0	0	0	0	0.369	0.369	NA	NA
"C_consensus_ks5"	"3"	1	0.024	0.162	0	0	0.574	0.999	NA	NA
"C_consensus_ks7"	""	0	0	0	0	0	0.369	0.369	NA	NA
"C_Leiden_0.4"	"2"	1	0.02	0.136	0	0	0.545	0.996	0.369	0.369
"C_Leiden_0.8"	"NA"	0	0	0	0	0	0.369	0.369	NA	NA
"C_Leiden_1.2"	"NA"	0	0	0	0	0	0.369	0.369	NA	NA
"C_SNNGraph_k8"	"1"	1	0	0.176	0	0	0.369	1	NA	NA
"C_SNNGraph_k10"	""	0	0	0	0	0	0.369	0.369	NA	NA
"QuanTC_run"	"C3, C1"	0.5	0	0	0	0	0.369	0.369	NA	NA
