	label	label_color	node	branch_id	branch_id_alias	branch_lam	branch_dist	S0_pseudotime	S3_pseudotime	S2_pseudotime	S5_pseudotime	S4_pseudotime	S1_pseudotime
HSPC_025	MPP1	#db721b	25	(83, 1)	('S1', 'S0')	0.012118039925189767	0.0007369308590949676	0.00426899364415023	0.016650165039087325	0.006969572551167231	0.02697835715988687	0.027481181682886734	0.012118039925189767
HSPC_031	MPP	#eea113	54	(83, 1)	('S1', 'S0')	0.013587126080420613	7.136351517428262e-05	0.002799907488919385	0.01518107888385648	0.005500486395936386	0.025509271004656022	0.026012095527655887	0.013587126080420613
HSPC_037	MPP	#eea113	76	(83, 1)	('S1', 'S0')	0.015825611414031663	8.230268839708234e-05	0.0005614221553083346	0.01294259355024543	0.0032620010623253355	0.023270785671044972	0.023773610194044836	0.015825611414031663
LT-HSC_001	LTHSC	#40bdbd	3	(83, 1)	('S1', 'S0')	0.0041098715918914015	0.000298282554881437	0.012277161977448596	0.02465833337238569	0.014977740884465598	0.03498652549318523	0.0354893500161851	0.0041098715918914015
HSPC_001	MPP	#eea113	10	(83, 1)	('S1', 'S0')	0.004508897392525882	0.0002380324451250048	0.011878136176814116	0.02425930757175121	0.014578715083831118	0.034587499692550754	0.03509032421555062	0.004508897392525882
HSPC_008	LMPP	#7c5246	24	(83, 1)	('S1', 'S0')	0.009303706656980387	0.0010394757800856233	0.007083326912359611	0.019464498307296706	0.00978390581937661	0.02979269042809625	0.030295514951096114	0.009303706656980387
HSPC_014	MPP	#eea113	46	(83, 1)	('S1', 'S0')	0.012832798709783239	0.000941374443591861	0.003554234859556759	0.015935406254493856	0.00625481376657376	0.026263598375293396	0.02676642289829326	0.012832798709783239
HSPC_020	LTHSC	#40bdbd	4	(83, 1)	('S1', 'S0')	0.002829753442932385	3.280147373887146e-05	0.013557280126407611	0.025938451521344705	0.016257859033424613	0.03626664364214425	0.03676946816514411	0.002829753442932385
HSPC_026	LMPP	#7c5246	58	(6, 1)	('S3', 'S0')	0.011007876116749428	0.0004713510980583571	0.0013732952781876674	0.011007876116749428	0.004073874185204668	0.02133606823754897	0.02183889276054883	0.017760328847527665
HSPC_038	MPP3	#bd4040	5	(80, 1)	('S2', 'S0')	0.0015610911539555893	0.0008499093354927764	0.0011394877530614116	0.013520659147998507	0.0015610911539555893	0.02384885126879805	0.024351675791797915	0.017526521322401407
LT-HSC_002	LTHSC	#40bdbd	31	(83, 1)	('S1', 'S0')	0.008768165074865648	0.00025972587414932317	0.0076188684944743495	0.020000039889411445	0.01031944740149135	0.03032823201021099	0.030831056533210853	0.008768165074865648
HSPC_002	LTHSC	#40bdbd	12	(83, 1)	('S1', 'S0')	0.005873518197611589	0.00037463706220051095	0.01051351537172841	0.022894686766665506	0.013214094278745411	0.03322287888746504	0.03372570341046491	0.005873518197611589
HSPC_009	LMPP	#7c5246	49	(6, 1)	('S3', 'S0')	0.01012446512621359	5.150577406926149e-05	0.002256706268723504	0.01012446512621359	0.004957285175740505	0.02045265724701313	0.020955481770012996	0.0186437398380635
HSPC_015	LMPP	#7c5246	25	(83, 1)	('S1', 'S0')	0.012172004345516024	0.000793262678388773	0.004215029223823974	0.01659620061876107	0.0069156081308409745	0.026924392739560613	0.027427217262560477	0.012172004345516024
HSPC_021	MPP3	#bd4040	22	(83, 1)	('S1', 'S0')	0.00794107701977194	0.0009163812425615725	0.008445956549568057	0.020827127944505152	0.011146535456585057	0.031155320065304692	0.03165814458830456	0.00794107701977194
HSPC_027	LMPP	#7c5246	37	(83, 1)	('S1', 'S0')	0.010327825090506107	0.0017027672697276105	0.006059208478833891	0.018440379873770986	0.008759787385850891	0.02876857199457053	0.029271396517570394	0.010327825090506107
HSPC_033	LMPP	#7c5246	76	(83, 1)	('S1', 'S0')	0.01590092607030061	0.0007034139611142478	0.0004861074990393892	0.012867278893976484	0.00318668640605639	0.023195471014776026	0.02369829553777589	0.01590092607030061
LT-HSC_003	LTHSC	#40bdbd	31	(83, 1)	('S1', 'S0')	0.008687251223447195	0.002303621749626682	0.007699782345892803	0.020080953740829896	0.010400361252909805	0.03040914586162944	0.030911970384629305	0.008687251223447195
HSPC_003	MPP3	#bd4040	32	(6, 1)	('S3', 'S0')	0.005844604895506775	0.0008477591589781349	0.00653656649943032	0.005844604895506775	0.00923714540644732	0.016172797016306317	0.01667562153930618	0.022923600068770318
